Antibiotic_Class,Year,Location,Age_Group,Sex,Rate
All other,2012,CO,Combined Ages,Combined Gender,Insufficient Data
All other,2012,CT,Combined Ages,Combined Gender,Insufficient Data
All other,2012,DC,Combined Ages,Combined Gender,Insufficient Data
All other,2012,DE,Combined Ages,Combined Gender,Insufficient Data
All other,2012,FL,Combined Ages,Combined Gender,Insufficient Data
All other,2012,GA,Combined Ages,Combined Gender,Insufficient Data
All other,2012,HI,Combined Ages,Combined Gender,Insufficient Data
All other,2012,IA,Combined Ages,Combined Gender,Insufficient Data
All other,2012,ID,Combined Ages,Combined Gender,Insufficient Data
All other,2012,IL,Combined Ages,Combined Gender,Insufficient Data
All other,2012,IN,Combined Ages,Combined Gender,Insufficient Data
All other,2012,KS,Combined Ages,Combined Gender,Insufficient Data
All other,2012,KY,Combined Ages,Combined Gender,Insufficient Data
All other,2012,LA,Combined Ages,Combined Gender,Insufficient Data
All other,2012,MA,Combined Ages,Combined Gender,Insufficient Data
All other,2012,MD,Combined Ages,Combined Gender,Insufficient Data
All other,2012,ME,Combined Ages,Combined Gender,Insufficient Data
All other,2012,MI,Combined Ages,Combined Gender,Insufficient Data
All other,2012,MN,Combined Ages,Combined Gender,Insufficient Data
All other,2012,MO,Combined Ages,Combined Gender,Insufficient Data
All other,2012,MS,Combined Ages,Combined Gender,Insufficient Data
All other,2012,MT,Combined Ages,Combined Gender,Insufficient Data
All other,2012,NC,Combined Ages,Combined Gender,Insufficient Data
All other,2012,ND,Combined Ages,Combined Gender,Insufficient Data
All other,2012,NE,Combined Ages,Combined Gender,Insufficient Data
All other,2012,NH,Combined Ages,Combined Gender,Insufficient Data
All other,2012,NJ,Combined Ages,Combined Gender,Insufficient Data
All other,2012,NM,Combined Ages,Combined Gender,Insufficient Data
All other,2012,NV,Combined Ages,Combined Gender,Insufficient Data
All other,2012,NY,Combined Ages,Combined Gender,Insufficient Data
All other,2012,OH,Combined Ages,Combined Gender,Insufficient Data
All other,2012,OK,Combined Ages,Combined Gender,Insufficient Data
All other,2012,OR,Combined Ages,Combined Gender,Insufficient Data
All other,2012,PA,Combined Ages,Combined Gender,Insufficient Data
All other,2012,RI,Combined Ages,Combined Gender,Insufficient Data
All other,2012,SC,Combined Ages,Combined Gender,Insufficient Data
All other,2012,SD,Combined Ages,Combined Gender,Insufficient Data
All other,2012,TN,Combined Ages,Combined Gender,Insufficient Data
All other,2012,TX,Combined Ages,Combined Gender,Insufficient Data
All other,2012,UT,Combined Ages,Combined Gender,Insufficient Data
All other,2012,VA,Combined Ages,Combined Gender,Insufficient Data
All other,2012,VT,Combined Ages,Combined Gender,Insufficient Data
All other,2012,WA,Combined Ages,Combined Gender,Insufficient Data
All other,2012,WI,Combined Ages,Combined Gender,Insufficient Data
All other,2012,WV,Combined Ages,Combined Gender,Insufficient Data
All other,2012,WY,Combined Ages,Combined Gender,Insufficient Data
All other,2013,AK,Combined Ages,Combined Gender,Insufficient Data
All other,2013,AL,Combined Ages,Combined Gender,Insufficient Data
All other,2013,AR,Combined Ages,Combined Gender,Insufficient Data
All other,2013,AZ,Combined Ages,Combined Gender,Insufficient Data
All other,2013,CA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,CO,Combined Ages,Combined Gender,Insufficient Data
All other,2013,CT,Combined Ages,Combined Gender,Insufficient Data
All other,2013,DC,Combined Ages,Combined Gender,Insufficient Data
All other,2013,DE,Combined Ages,Combined Gender,Insufficient Data
All other,2013,FL,Combined Ages,Combined Gender,Insufficient Data
All other,2013,GA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,HI,Combined Ages,Combined Gender,Insufficient Data
All other,2013,IA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,ID,Combined Ages,Combined Gender,Insufficient Data
All other,2013,IL,Combined Ages,Combined Gender,Insufficient Data
All other,2013,IN,Combined Ages,Combined Gender,Insufficient Data
All other,2013,KS,Combined Ages,Combined Gender,Insufficient Data
All other,2013,KY,Combined Ages,Combined Gender,Insufficient Data
All other,2013,LA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,MA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,MD,Combined Ages,Combined Gender,Insufficient Data
All other,2013,ME,Combined Ages,Combined Gender,Insufficient Data
All other,2013,MI,Combined Ages,Combined Gender,Insufficient Data
All other,2013,MN,Combined Ages,Combined Gender,Insufficient Data
All other,2013,MO,Combined Ages,Combined Gender,Insufficient Data
All other,2013,MS,Combined Ages,Combined Gender,Insufficient Data
All other,2013,MT,Combined Ages,Combined Gender,Insufficient Data
All other,2013,NC,Combined Ages,Combined Gender,Insufficient Data
All other,2013,ND,Combined Ages,Combined Gender,Insufficient Data
All other,2013,NE,Combined Ages,Combined Gender,Insufficient Data
All other,2013,NH,Combined Ages,Combined Gender,Insufficient Data
All other,2013,NJ,Combined Ages,Combined Gender,Insufficient Data
All other,2013,NM,Combined Ages,Combined Gender,Insufficient Data
All other,2013,NV,Combined Ages,Combined Gender,Insufficient Data
All other,2013,NY,Combined Ages,Combined Gender,Insufficient Data
All other,2013,OH,Combined Ages,Combined Gender,Insufficient Data
All other,2013,OK,Combined Ages,Combined Gender,Insufficient Data
All other,2013,OR,Combined Ages,Combined Gender,Insufficient Data
All other,2013,PA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,RI,Combined Ages,Combined Gender,Insufficient Data
All other,2013,SC,Combined Ages,Combined Gender,Insufficient Data
All other,2013,SD,Combined Ages,Combined Gender,Insufficient Data
All other,2013,TN,Combined Ages,Combined Gender,Insufficient Data
All other,2013,TX,Combined Ages,Combined Gender,Insufficient Data
All other,2013,UT,Combined Ages,Combined Gender,Insufficient Data
All other,2013,VA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,VT,Combined Ages,Combined Gender,Insufficient Data
All other,2013,WA,Combined Ages,Combined Gender,Insufficient Data
All other,2013,WI,Combined Ages,Combined Gender,Insufficient Data
All other,2013,WV,Combined Ages,Combined Gender,Insufficient Data
All other,2013,WY,Combined Ages,Combined Gender,Insufficient Data
All other,2014,AK,Combined Ages,Combined Gender,Insufficient Data
All other,2014,AL,Combined Ages,Combined Gender,Insufficient Data
All other,2014,AR,Combined Ages,Combined Gender,Insufficient Data
All other,2014,AZ,Combined Ages,Combined Gender,Insufficient Data
All other,2014,CA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,CO,Combined Ages,Combined Gender,Insufficient Data
All other,2014,CT,Combined Ages,Combined Gender,Insufficient Data
All other,2014,DC,Combined Ages,Combined Gender,Insufficient Data
All other,2014,DE,Combined Ages,Combined Gender,Insufficient Data
All other,2014,FL,Combined Ages,Combined Gender,Insufficient Data
All other,2014,GA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,HI,Combined Ages,Combined Gender,Insufficient Data
All other,2014,IA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,ID,Combined Ages,Combined Gender,Insufficient Data
All other,2014,IL,Combined Ages,Combined Gender,Insufficient Data
All other,2014,IN,Combined Ages,Combined Gender,Insufficient Data
All other,2014,KS,Combined Ages,Combined Gender,Insufficient Data
All other,2014,KY,Combined Ages,Combined Gender,Insufficient Data
All other,2014,LA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,MA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,MD,Combined Ages,Combined Gender,Insufficient Data
All other,2014,ME,Combined Ages,Combined Gender,Insufficient Data
All other,2014,MI,Combined Ages,Combined Gender,Insufficient Data
All other,2014,MN,Combined Ages,Combined Gender,Insufficient Data
All other,2014,MO,Combined Ages,Combined Gender,Insufficient Data
All other,2014,MS,Combined Ages,Combined Gender,Insufficient Data
All other,2014,MT,Combined Ages,Combined Gender,Insufficient Data
All other,2014,NC,Combined Ages,Combined Gender,Insufficient Data
All other,2014,ND,Combined Ages,Combined Gender,Insufficient Data
All other,2014,NE,Combined Ages,Combined Gender,Insufficient Data
All other,2014,NH,Combined Ages,Combined Gender,Insufficient Data
All other,2014,NJ,Combined Ages,Combined Gender,Insufficient Data
All other,2014,NM,Combined Ages,Combined Gender,Insufficient Data
All other,2014,NV,Combined Ages,Combined Gender,Insufficient Data
All other,2014,NY,Combined Ages,Combined Gender,Insufficient Data
All other,2014,OH,Combined Ages,Combined Gender,Insufficient Data
All other,2014,OK,Combined Ages,Combined Gender,Insufficient Data
All other,2014,OR,Combined Ages,Combined Gender,Insufficient Data
All other,2014,PA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,RI,Combined Ages,Combined Gender,Insufficient Data
All other,2014,SC,Combined Ages,Combined Gender,Insufficient Data
All other,2014,SD,Combined Ages,Combined Gender,Insufficient Data
All other,2014,TN,Combined Ages,Combined Gender,Insufficient Data
All other,2014,TX,Combined Ages,Combined Gender,Insufficient Data
All other,2014,UT,Combined Ages,Combined Gender,Insufficient Data
All other,2014,VA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,VT,Combined Ages,Combined Gender,Insufficient Data
All other,2014,WA,Combined Ages,Combined Gender,Insufficient Data
All other,2014,WI,Combined Ages,Combined Gender,Insufficient Data
All other,2014,WV,Combined Ages,Combined Gender,Insufficient Data
All other,2014,WY,Combined Ages,Combined Gender,Insufficient Data
B-lactams increased activity,2011,National,Combined Ages,Combined Gender,70.7384472117689
B-lactams increased activity,2011,National,Combined Ages,F,76.6984903463085
B-lactams increased activity,2011,National,Combined Ages,M,63.0928098690428
B-lactams increased activity,2011,National,0-19,Combined Gender,93.5199679200644
B-lactams increased activity,2011,National,0-19,F,Insufficient Data
B-lactams increased activity,2011,National,0-19,M,Insufficient Data
B-lactams increased activity,2011,National,20+,Combined Gender,60.3109718700302
B-lactams increased activity,2011,National,20+,F,Insufficient Data
B-lactams increased activity,2011,National,20+,M,Insufficient Data
B-lactams increased activity,2012,National,Combined Ages,Combined Gender,69.2854357545535
B-lactams increased activity,2012,National,Combined Ages,F,75.8796549179626
B-lactams increased activity,2012,National,Combined Ages,M,61.9122737255805
B-lactams increased activity,2012,National,0-19,Combined Gender,86.2963698917041
B-lactams increased activity,2012,National,0-19,F,Insufficient Data
B-lactams increased activity,2012,National,0-19,M,Insufficient Data
B-lactams increased activity,2012,National,20+,Combined Gender,61.7391670538469
B-lactams increased activity,2012,National,20+,F,Insufficient Data
B-lactams increased activity,2012,National,20+,M,Insufficient Data
B-lactams increased activity,2013,National,Combined Ages,Combined Gender,72.8532268392266
B-lactams increased activity,2013,National,Combined Ages,F,80.7306506811739
B-lactams increased activity,2013,National,Combined Ages,M,64.1400555181928
B-lactams increased activity,2013,National,0-19,Combined Gender,83.8231202452635
B-lactams increased activity,2013,National,0-19,F,Insufficient Data
B-lactams increased activity,2013,National,0-19,M,Insufficient Data
B-lactams increased activity,2013,National,20+,Combined Gender,67.4606585862172
B-lactams increased activity,2013,National,20+,F,Insufficient Data
B-lactams increased activity,2013,National,20+,M,Insufficient Data
B-lactams increased activity,2014,National,Combined Ages,Combined Gender,73.7980310211411
B-lactams increased activity,2014,National,Combined Ages,F,82.6055758240242
B-lactams increased activity,2014,National,Combined Ages,M,64.1401978750746
B-lactams increased activity,2014,National,0-19,Combined Gender,78.8370386571179
B-lactams increased activity,2014,National,0-19,F,Insufficient Data
B-lactams increased activity,2014,National,0-19,M,Insufficient Data
B-lactams increased activity,2014,National,20+,Combined Gender,70.6102423652655
B-lactams increased activity,2014,National,20+,F,Insufficient Data
B-lactams increased activity,2014,National,20+,M,Insufficient Data
Cephalosporins,2011,AK,Combined Ages,Combined Gender,74.5832802821033
Cephalosporins,2011,AL,Combined Ages,Combined Gender,181.863366998529
Cephalosporins,2011,AR,Combined Ages,Combined Gender,158.140915386788
Cephalosporins,2011,AZ,Combined Ages,Combined Gender,117.17412855849
Cephalosporins,2011,CA,Combined Ages,Combined Gender,77.110805102372
Cephalosporins,2011,CO,Combined Ages,Combined Gender,95.3773150214446
Cephalosporins,2011,CT,Combined Ages,Combined Gender,113.427373119954
Cephalosporins,2011,DC,Combined Ages,Combined Gender,110.19130373114
Cephalosporins,2011,DE,Combined Ages,Combined Gender,120.229624742104
Cephalosporins,2011,FL,Combined Ages,Combined Gender,91.6890668257669
Cephalosporins,2011,GA,Combined Ages,Combined Gender,116.372859375855
Cephalosporins,2011,HI,Combined Ages,Combined Gender,76.1181453886121
Cephalosporins,2011,IA,Combined Ages,Combined Gender,151.90093392811
Cephalosporins,2011,ID,Combined Ages,Combined Gender,107.664296808899
Cephalosporins,2011,IL,Combined Ages,Combined Gender,104.529467734947
Cephalosporins,2011,IN,Combined Ages,Combined Gender,177.904177971209
Cephalosporins,2011,KS,Combined Ages,Combined Gender,159.867541938665
Cephalosporins,2011,KY,Combined Ages,Combined Gender,213.164695593042
Cephalosporins,2011,LA,Combined Ages,Combined Gender,152.09478335969
Cephalosporins,2011,MA,Combined Ages,Combined Gender,91.7537592990015
Cephalosporins,2011,MD,Combined Ages,Combined Gender,98.4314079474912
Cephalosporins,2011,ME,Combined Ages,Combined Gender,81.3361246451239
Cephalosporins,2011,MI,Combined Ages,Combined Gender,136.171782032247
Cephalosporins,2011,MN,Combined Ages,Combined Gender,98.1785406829729
Cephalosporins,2011,MO,Combined Ages,Combined Gender,136.635457622472
Cephalosporins,2011,MS,Combined Ages,Combined Gender,175.70769027257
Cephalosporins,2011,MT,Combined Ages,Combined Gender,84.0706813236158
Cephalosporins,2011,National,Combined Ages,Combined Gender,117.335182500242
Cephalosporins,2011,National,Combined Ages,F,131.100260582455
Cephalosporins,2011,National,Combined Ages,M,100.859745743858
Cephalosporins,2011,National,0-19,Combined Gender,162.005912899466
Cephalosporins,2011,National,0-19,F,Insufficient Data
Cephalosporins,2011,National,0-19,M,Insufficient Data
Cephalosporins,2011,National,20+,Combined Gender,97.6889567478916
Cephalosporins,2011,National,20+,F,Insufficient Data
Cephalosporins,2011,National,20+,M,Insufficient Data
Cephalosporins,2011,NC,Combined Ages,Combined Gender,127.136257133868
Cephalosporins,2011,ND,Combined Ages,Combined Gender,148.650228678336
Cephalosporins,2011,NE,Combined Ages,Combined Gender,179.702122208277
Cephalosporins,2011,NH,Combined Ages,Combined Gender,81.862380121826
Cephalosporins,2011,NJ,Combined Ages,Combined Gender,115.247340888117
Cephalosporins,2011,NM,Combined Ages,Combined Gender,92.9463141723443
Cephalosporins,2011,NV,Combined Ages,Combined Gender,94.7665404000457
Cephalosporins,2011,NY,Combined Ages,Combined Gender,108.281160828608
Cephalosporins,2011,OH,Combined Ages,Combined Gender,127.609590223521
Cephalosporins,2011,OK,Combined Ages,Combined Gender,132.175357524191
Cephalosporins,2011,OR,Combined Ages,Combined Gender,72.6250554601202
Cephalosporins,2011,PA,Combined Ages,Combined Gender,105.689491403604
Cephalosporins,2011,RI,Combined Ages,Combined Gender,101.400011406627
Cephalosporins,2011,SC,Combined Ages,Combined Gender,129.408459649728
Cephalosporins,2011,SD,Combined Ages,Combined Gender,162.820094373619
Cephalosporins,2011,TN,Combined Ages,Combined Gender,180.517914743856
Cephalosporins,2011,TX,Combined Ages,Combined Gender,143.026302625154
Cephalosporins,2011,UT,Combined Ages,Combined Gender,131.403284311149
Cephalosporins,2011,VA,Combined Ages,Combined Gender,124.331666540904
Cephalosporins,2011,VT,Combined Ages,Combined Gender,84.7927687764385
Cephalosporins,2011,WA,Combined Ages,Combined Gender,86.837473497944
Cephalosporins,2011,WI,Combined Ages,Combined Gender,91.1974106574349
Cephalosporins,2011,WV,Combined Ages,Combined Gender,217.418174408164
Cephalosporins,2011,WY,Combined Ages,Combined Gender,107.729246640863
Cephalosporins,2012,AK,Combined Ages,Combined Gender,69.0842328004694
Cephalosporins,2012,AL,Combined Ages,Combined Gender,183.483654538344
Cephalosporins,2012,AR,Combined Ages,Combined Gender,176.815390092565
Cephalosporins,2012,AZ,Combined Ages,Combined Gender,112.543672924527
Cephalosporins,2012,CA,Combined Ages,Combined Gender,74.1295743505837
Cephalosporins,2012,CO,Combined Ages,Combined Gender,90.6974427881082
Cephalosporins,2012,CT,Combined Ages,Combined Gender,113.833111411706
Cephalosporins,2012,DC,Combined Ages,Combined Gender,108.902431342907
Cephalosporins,2012,DE,Combined Ages,Combined Gender,117.672566014564
Cephalosporins,2012,FL,Combined Ages,Combined Gender,87.6600383038092
Cephalosporins,2012,GA,Combined Ages,Combined Gender,116.359847766913
Cephalosporins,2012,HI,Combined Ages,Combined Gender,74.6938250933755
Cephalosporins,2012,IA,Combined Ages,Combined Gender,162.49318337351
Cephalosporins,2012,ID,Combined Ages,Combined Gender,106.393415601752
Cephalosporins,2012,IL,Combined Ages,Combined Gender,101.8911945171
Cephalosporins,2012,IN,Combined Ages,Combined Gender,168.551821209893
Cephalosporins,2012,KS,Combined Ages,Combined Gender,159.519103828667
Cephalosporins,2012,KY,Combined Ages,Combined Gender,198.439063617487
Cephalosporins,2012,LA,Combined Ages,Combined Gender,149.931490219653
Cephalosporins,2012,MA,Combined Ages,Combined Gender,91.5105391079021
Cephalosporins,2012,MD,Combined Ages,Combined Gender,97.0428096993496
Cephalosporins,2012,ME,Combined Ages,Combined Gender,82.8238164914436
Cephalosporins,2012,MI,Combined Ages,Combined Gender,115.856975485852
Cephalosporins,2012,MN,Combined Ages,Combined Gender,94.0287550772548
Cephalosporins,2012,MO,Combined Ages,Combined Gender,135.20005954909
Cephalosporins,2012,MS,Combined Ages,Combined Gender,184.084963281992
Cephalosporins,2012,MT,Combined Ages,Combined Gender,82.0275219044073
Cephalosporins,2012,National,Combined Ages,Combined Gender,115.359458097606
Cephalosporins,2012,National,Combined Ages,F,130.11912973083
Cephalosporins,2012,National,Combined Ages,M,99.1966769795869
Cephalosporins,2012,National,0-19,Combined Gender,152.453487734878
Cephalosporins,2012,National,0-19,F,Insufficient Data
Cephalosporins,2012,National,0-19,M,Insufficient Data
Cephalosporins,2012,National,20+,Combined Gender,99.6990450891154
Cephalosporins,2012,National,20+,F,Insufficient Data
Cephalosporins,2012,National,20+,M,Insufficient Data
Cephalosporins,2012,NC,Combined Ages,Combined Gender,131.200045423864
Cephalosporins,2012,ND,Combined Ages,Combined Gender,145.019060716398
Cephalosporins,2012,NE,Combined Ages,Combined Gender,179.797379340302
Cephalosporins,2012,NH,Combined Ages,Combined Gender,86.1435998113973
Cephalosporins,2012,NJ,Combined Ages,Combined Gender,112.248228931955
Cephalosporins,2012,NM,Combined Ages,Combined Gender,91.7351868037608
Cephalosporins,2012,NV,Combined Ages,Combined Gender,92.7332487673506
Cephalosporins,2012,NY,Combined Ages,Combined Gender,107.107074769707
Cephalosporins,2012,OH,Combined Ages,Combined Gender,119.596051424915
Cephalosporins,2012,OK,Combined Ages,Combined Gender,145.871937006999
Cephalosporins,2012,OR,Combined Ages,Combined Gender,69.681174468103
Cephalosporins,2012,PA,Combined Ages,Combined Gender,106.029520808981
Cephalosporins,2012,RI,Combined Ages,Combined Gender,101.814386155911
Cephalosporins,2012,SC,Combined Ages,Combined Gender,134.187744474943
Cephalosporins,2012,SD,Combined Ages,Combined Gender,171.234038422823
Cephalosporins,2012,TN,Combined Ages,Combined Gender,180.890897337136
Cephalosporins,2012,TX,Combined Ages,Combined Gender,143.011970910869
Cephalosporins,2012,UT,Combined Ages,Combined Gender,128.928727785223
Cephalosporins,2012,VA,Combined Ages,Combined Gender,125.735647449875
Cephalosporins,2012,VT,Combined Ages,Combined Gender,84.4918851754723
Cephalosporins,2012,WA,Combined Ages,Combined Gender,82.319738411401
Cephalosporins,2012,WI,Combined Ages,Combined Gender,89.8785198941893
Cephalosporins,2012,WV,Combined Ages,Combined Gender,215.074790727643
Cephalosporins,2012,WY,Combined Ages,Combined Gender,112.055563163359
Cephalosporins,2013,AK,Combined Ages,Combined Gender,62.2881375473206
Cephalosporins,2013,AL,Combined Ages,Combined Gender,178.979285460725
Cephalosporins,2013,AR,Combined Ages,Combined Gender,181.392591165571
Cephalosporins,2013,AZ,Combined Ages,Combined Gender,110.294016711689
Cephalosporins,2013,CA,Combined Ages,Combined Gender,74.3898913578255
Cephalosporins,2013,CO,Combined Ages,Combined Gender,88.261164556118
Cephalosporins,2013,CT,Combined Ages,Combined Gender,111.12798703985
Cephalosporins,2013,DC,Combined Ages,Combined Gender,106.358434843963
Cephalosporins,2013,DE,Combined Ages,Combined Gender,117.973152911677
Cephalosporins,2013,FL,Combined Ages,Combined Gender,87.6005574605459
Cephalosporins,2013,GA,Combined Ages,Combined Gender,114.432984327089
Cephalosporins,2013,HI,Combined Ages,Combined Gender,71.8204071435719
Cephalosporins,2013,IA,Combined Ages,Combined Gender,159.296982447925
Cephalosporins,2013,ID,Combined Ages,Combined Gender,105.166838929765
Cephalosporins,2013,IL,Combined Ages,Combined Gender,101.090153470546
Cephalosporins,2013,IN,Combined Ages,Combined Gender,171.52783875967
Cephalosporins,2013,KS,Combined Ages,Combined Gender,156.299352061831
Cephalosporins,2013,KY,Combined Ages,Combined Gender,192.824963184018
Cephalosporins,2013,LA,Combined Ages,Combined Gender,143.895431777357
Cephalosporins,2013,MA,Combined Ages,Combined Gender,88.7282053590528
Cephalosporins,2013,MD,Combined Ages,Combined Gender,95.16079934168
Cephalosporins,2013,ME,Combined Ages,Combined Gender,80.2693079411334
Cephalosporins,2013,MI,Combined Ages,Combined Gender,129.334888701405
Cephalosporins,2013,MN,Combined Ages,Combined Gender,95.8225858806438
Cephalosporins,2013,MO,Combined Ages,Combined Gender,133.167279219882
Cephalosporins,2013,MS,Combined Ages,Combined Gender,182.298595083363
Cephalosporins,2013,MT,Combined Ages,Combined Gender,79.1954094341705
Cephalosporins,2013,National,Combined Ages,Combined Gender,114.820893373703
Cephalosporins,2013,National,Combined Ages,F,130.285594089442
Cephalosporins,2013,National,Combined Ages,M,97.9010623561299
Cephalosporins,2013,National,0-19,Combined Gender,143.968010130369
Cephalosporins,2013,National,0-19,F,Insufficient Data
Cephalosporins,2013,National,0-19,M,Insufficient Data
Cephalosporins,2013,National,20+,Combined Gender,102.225742762595
Cephalosporins,2013,National,20+,F,Insufficient Data
Cephalosporins,2013,National,20+,M,Insufficient Data
Cephalosporins,2013,NC,Combined Ages,Combined Gender,126.380273079777
Cephalosporins,2013,ND,Combined Ages,Combined Gender,140.075954228529
Cephalosporins,2013,NE,Combined Ages,Combined Gender,176.624122711506
Cephalosporins,2013,NH,Combined Ages,Combined Gender,85.0153030055583
Cephalosporins,2013,NJ,Combined Ages,Combined Gender,112.223372670513
Cephalosporins,2013,NM,Combined Ages,Combined Gender,90.0545403578033
Cephalosporins,2013,NV,Combined Ages,Combined Gender,92.2113606549035
Cephalosporins,2013,NY,Combined Ages,Combined Gender,108.360798408586
Cephalosporins,2013,OH,Combined Ages,Combined Gender,129.066620693657
Cephalosporins,2013,OK,Combined Ages,Combined Gender,145.866864186355
Cephalosporins,2013,OR,Combined Ages,Combined Gender,68.3681036071681
Cephalosporins,2013,PA,Combined Ages,Combined Gender,115.133204801773
Cephalosporins,2013,RI,Combined Ages,Combined Gender,95.6655787133289
Cephalosporins,2013,SC,Combined Ages,Combined Gender,131.52606419752
Cephalosporins,2013,SD,Combined Ages,Combined Gender,158.073399486699
Cephalosporins,2013,TN,Combined Ages,Combined Gender,176.624972738554
Cephalosporins,2013,TX,Combined Ages,Combined Gender,135.330505356273
Cephalosporins,2013,UT,Combined Ages,Combined Gender,127.423276320309
Cephalosporins,2013,VA,Combined Ages,Combined Gender,123.888409733821
Cephalosporins,2013,VT,Combined Ages,Combined Gender,83.7317880530587
Cephalosporins,2013,WA,Combined Ages,Combined Gender,81.3518696275265
Cephalosporins,2013,WI,Combined Ages,Combined Gender,89.050152421586
Cephalosporins,2013,WV,Combined Ages,Combined Gender,208.98561983605
Cephalosporins,2013,WY,Combined Ages,Combined Gender,112.699722061716
Cephalosporins,2014,AK,Combined Ages,Combined Gender,60.4130538649061
Cephalosporins,2014,AL,Combined Ages,Combined Gender,170.239715328382
Cephalosporins,2014,AR,Combined Ages,Combined Gender,174.022989048229
Cephalosporins,2014,AZ,Combined Ages,Combined Gender,107.093483398313
Cephalosporins,2014,CA,Combined Ages,Combined Gender,72.5869539333774
Cephalosporins,2014,CO,Combined Ages,Combined Gender,85.4730271444446
Cephalosporins,2014,CT,Combined Ages,Combined Gender,109.287756448522
Cephalosporins,2014,DC,Combined Ages,Combined Gender,103.273202173949
Cephalosporins,2014,DE,Combined Ages,Combined Gender,113.43673779999
Cephalosporins,2014,FL,Combined Ages,Combined Gender,87.4764816510841
Cephalosporins,2014,GA,Combined Ages,Combined Gender,110.086530684361
Cephalosporins,2014,HI,Combined Ages,Combined Gender,71.9046381240398
Cephalosporins,2014,IA,Combined Ages,Combined Gender,162.487121539326
Cephalosporins,2014,ID,Combined Ages,Combined Gender,102.722647913933
Cephalosporins,2014,IL,Combined Ages,Combined Gender,98.453824284313
Cephalosporins,2014,IN,Combined Ages,Combined Gender,163.867673307971
Cephalosporins,2014,KS,Combined Ages,Combined Gender,155.083255251943
Cephalosporins,2014,KY,Combined Ages,Combined Gender,195.153830659282
Cephalosporins,2014,LA,Combined Ages,Combined Gender,140.250892750378
Cephalosporins,2014,MA,Combined Ages,Combined Gender,87.2419711305841
Cephalosporins,2014,MD,Combined Ages,Combined Gender,91.5926776740624
Cephalosporins,2014,ME,Combined Ages,Combined Gender,81.7448456456673
Cephalosporins,2014,MI,Combined Ages,Combined Gender,127.172772174672
Cephalosporins,2014,MN,Combined Ages,Combined Gender,95.9972626852768
Cephalosporins,2014,MO,Combined Ages,Combined Gender,128.75870544656
Cephalosporins,2014,MS,Combined Ages,Combined Gender,177.079121826781
Cephalosporins,2014,MT,Combined Ages,Combined Gender,75.5971253806498
Cephalosporins,2014,National,Combined Ages,Combined Gender,111.854251674429
Cephalosporins,2014,National,Combined Ages,F,127.597071808675
Cephalosporins,2014,National,Combined Ages,M,94.7475738385613
Cephalosporins,2014,National,0-19,Combined Gender,137.316851710629
Cephalosporins,2014,National,0-19,F,Insufficient Data
Cephalosporins,2014,National,0-19,M,Insufficient Data
Cephalosporins,2014,National,20+,Combined Gender,100.85609490213
Cephalosporins,2014,National,20+,F,Insufficient Data
Cephalosporins,2014,National,20+,M,Insufficient Data
Cephalosporins,2014,NC,Combined Ages,Combined Gender,118.282443500404
Cephalosporins,2014,ND,Combined Ages,Combined Gender,133.391779651161
Cephalosporins,2014,NE,Combined Ages,Combined Gender,174.815782913981
Cephalosporins,2014,NH,Combined Ages,Combined Gender,84.1026429496843
Cephalosporins,2014,NJ,Combined Ages,Combined Gender,106.768783336646
Cephalosporins,2014,NM,Combined Ages,Combined Gender,91.4186803428506
Cephalosporins,2014,NV,Combined Ages,Combined Gender,89.5503045156223
Cephalosporins,2014,NY,Combined Ages,Combined Gender,106.933779805125
Cephalosporins,2014,OH,Combined Ages,Combined Gender,126.868994337936
Cephalosporins,2014,OK,Combined Ages,Combined Gender,144.716704344528
Cephalosporins,2014,OR,Combined Ages,Combined Gender,69.2320588256776
Cephalosporins,2014,PA,Combined Ages,Combined Gender,112.93784124433
Cephalosporins,2014,RI,Combined Ages,Combined Gender,93.8565429555153
Cephalosporins,2014,SC,Combined Ages,Combined Gender,124.20590702666
Cephalosporins,2014,SD,Combined Ages,Combined Gender,155.323503384417
Cephalosporins,2014,TN,Combined Ages,Combined Gender,172.090211367485
Cephalosporins,2014,TX,Combined Ages,Combined Gender,129.864208342794
Cephalosporins,2014,UT,Combined Ages,Combined Gender,121.533659632567
Cephalosporins,2014,VA,Combined Ages,Combined Gender,117.220574496039
Cephalosporins,2014,VT,Combined Ages,Combined Gender,83.5237215151892
Cephalosporins,2014,WA,Combined Ages,Combined Gender,80.6116946327512
Cephalosporins,2014,WI,Combined Ages,Combined Gender,89.1815427496777
Cephalosporins,2014,WV,Combined Ages,Combined Gender,210.569845529924
