"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value"
"2015","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,475"
"2016","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,465"
"2017","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,891"
"2018","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","13,378"
"2009","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,737"
"2010","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,229"
"2011","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,430"
"2012","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,054"
"2013","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,883"
"2014","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,960"
"2015","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,120"
"2016","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,167"
"2017","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,355"
"2018","Slovakia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,239"
"2010","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,651"
"2011","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,160"
"2012","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,938"
"2013","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,459"
"2014","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,991"
"2015","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,935"
"2016","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,976"
"2017","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","24,293"
"2018","Finland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","24,805"
"2009","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,982"
"2010","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,390"
"2011","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,192"
"2012","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","24,547"
"2013","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","26,086"
"2014","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","26,836"
"2015","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","26,066"
"2016","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","26,039"
"2017","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","26,543"
"2018","Sweden","Euro","Median equivalised net income","Reporting country","Total","18 years or over","26,798"
"2009","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,855"
"2010","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,946"
"2011","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,721"
"2012","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,988"
"2013","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,459"
"2014","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,497"
"2015","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,999"
"2016","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,854"
"2017","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,421"
"2018","United Kingdom","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,371"
"2010","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,051"
"2011","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,651"
"2012","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,301"
"2013","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,087"
"2014","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,296"
"2015","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","25,599"
"2016","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","29,837"
"2017","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2018","Iceland","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","34,482"
"2010","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","33,313"
"2011","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","37,254"
"2012","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","40,954"
"2013","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","44,245"
"2014","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","45,009"
"2015","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","42,535"
"2016","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","40,584"
"2017","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","39,466"
"2018","Norway","Euro","Median equivalised net income","Reporting country","Total","18 years or over","40,635"
"2009","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","31,504"
"2010","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","32,591"
"2011","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","35,983"
"2012","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","41,604"
"2013","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","42,844"
"2014","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","40,433"
"2015","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","41,590"
"2016","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","46,994"
"2017","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","46,604"
"2018","Switzerland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","45,581"
"2009","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2010","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2011","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2012","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","1,871"
"2013","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","1,949"
"2014","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,033"
"2015","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,204"
"2016","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,339"
"2017","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,571"
"2018","North Macedonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2010","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2011","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2012","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2013","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2014","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,475"
"2015","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,436"
"2016","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,475"
"2017","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,564"
"2018","Serbia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,322"
"2010","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,051"
"2011","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,638"
"2012","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,531"
"2013","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,773"
"2014","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,816"
"2015","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,693"
"2016","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,085"
"2017","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,207"
"2018","Turkey","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
